,V3,V1
1,,Q1
2,,Q2
3,,Q3
4,,Q4
5,,Q5
6,,Q6
7,Bus,Q7_1
8,Carpool,Q7_2
9,Subway,Q7_3
10,Train,Q7_4
11,Taxi,Q7_5
12,Airplane,Q7_6
13,Other,Q7_7
14,Refused,Q7_8
15,Other_text,Q7_otherText
16,Work,Q8_1
17,School,Q8_2
18,Shopping,Q8_3
19,Visiting people,Q8_4
20,Recreation,Q8_5
21,Other,Q8_6
22,Refused,Q8_7
23,Other_text,Q8_otherText
24,,Q9
25,Bus,Q10_1
26,Carpool,Q10_2
27,Subway,Q10_3
28,Train,Q10_4
29,Taxi,Q10_5
30,Airplane,Q10_6
31,Don_t know,Q10_7
32,Other,Q10_8
33,Refused,Q10_9
34,Other_text,Q10_otherText
35,Work,Q11_1
36,Schools,Q11_2
37,Day care,Q11_3
38,Stores,Q11_4
39,Restaurants,Q11_5
40,Libraries,Q11_6
41,Hospitals,Q11_7
42,Doctor_s office,Q11_8
43,Public transportation,Q11_9
44,Family or friends,Q11_10
45,Other,Q11_11
46,Other_text,Q11_OtherText
47,Codes,Q11_OtherText_Codes
48,Avoid touching my eyes,Q12_1
49,Avoid touching my nose,Q12_2
50,Avoid touching my mouth,Q12_3
51,Wash my hands with soap more often,Q12_4
52,Use hand sanitizers,Q12_5
53,Clean the surfaces in my home ,Q12_6
54,Clean the surfaces at work,Q12_7
55,Eat nutritious food,Q12_8
56,Get adequate rest,Q12_9
57,Get recommended vaccine,Q12_10
58,Take preventive medicine,Q12_11
59,Cover my nose and mouth with a surgical mask,Q12_12
60,Avoid contact with people who are sick,Q12_13
61,Avoid crowded places,Q12_14
62,Other,Q12_15
63,Other_text,Q12_OtherText
64,Codes,Q12_OtherText_Codes
65,Do you get an influenza vaccine?,Q13
66,,Q14
67,,Q15
68,,Q16
69,,Q17
70,The vaccine costs too much,Q18_1
71,The vaccine is not very effective in preventing influenza,Q18_2
72,I am not likely to get influenza,Q18_3
73,Do not know where to get vaccine,Q18_4
74,The side effect of the vaccine are too risky,Q18_5
75,I am allergic to some of the ingredients in the vaccine,Q18_6
76,I do not like shots,Q18_7
77,I just don_t get around to doing it,Q18_8
78,I have to travel too far to get vaccine,Q18_9
79,Other,Q18_10
80,Refused,Q18_11
81,Other_text,Q18_otherText
82,,Q19
83,,Q20
84,,Q21
85,Go to a doctor_s office or medical clinic,Q22_1
86,Decide on treatment without consulting a health practitioner,Q22_2
87,Search the internet for a treatment,Q22_3
88,Get adequate sleep,Q22_4
89,Eat nutritious food,Q22_5
90,Take-over-counter medication for symptoms,Q22_6
91,Take an antiviral medicine,Q22_7
92,Take no action to treat the illness,Q22_8
93,Other,Q22_9
94,Other_text,Q22_OtherText
95,Codes,Q22_OtherText_Codes
96,Stand away from people,Q23_1
97,Avoid public places,Q23_2
98,Avoid public transportation,Q23_3
99,Stay at home,Q23_4
100,Wash my hands with soap more often,Q23_5
101,Use hand sanitizers,Q23_6
102,Clean the surfaces in my home,Q23_7
103,Clean the surfaces I use at work,Q23_8
104,Cover my nose and mouth with a surgical mask,Q23_9
105,Cover my nose and mouth when I sneeze or cough,Q23_10
106,Other,Q23_11
107,Other_text,Q23_OtherText
108,Codes,Q23_OtherText_Codes
109,,RI_Grid
110,Print media such as newspapers and magazines,Q24_1
111,Traditional media such as television and radio,Q24_2
112,Social media such as internet and blogs,Q24_3
113,Word of mouth,Q24_4
114,None,Q24_5
115,Other,Q24_6
116,Refused,Q24_7
117,Other_text,Q24_otherText
118,Stand away from people,Q25_1
119,Avoid public places,Q25_2
120,Avoid public transportation,Q25_3
121,Stay at home,Q25_4
122,Wash my hands with soap more often,Q25_5
123,Use hand sanitizers,Q25_6
124,Clean the surfaces in my home,Q25_7
125,Clean the surfaces I use at work,Q25_8
126,Cover my nose and mouth with a surgical mask,Q25_9
127,Cover my nose and mouth when I sneeze or cough,Q25_10
128,Other,Q25_11
129,Other_text,Q25_OtherText
130,Codes,Q25_OtherText_Codes
131,,Q26
132,Keep the child away from the others in the residence,Q27_1
133,Keep the child out of school/daycare,Q27_2
134,Stop child_s social activities like play dates,Q27_3
135,Other,Q27_4
136,Other_text,Q27_OtherText
137,Codes,Q27_OtherText_Codes
138,,Q28
139,A parent brings the child to work,Q29_1
140,A parent stays home,Q29_2
141,Another adult stays home,Q29_3
142,Send the child to school sick,Q29_4
143,Take the child to a relative or friends,Q29_5
144,Other,Q29_6
145,Other_text,Q29_OtherText
146,Codes,Q29_OtherText_Codes
147,I bring the child to work,Q30_1
148,I stay home,Q30_2
149,Another adult stays home,Q30_3
150,Send the child to school sick,Q30_4
151,Take the child to a relative or friends,Q30_5
152,Other,Q30_6
153,Other_text,Q30_OtherText
154,Codes,Q30_OtherText_Codes
155,,Q31
156,Codes,Q31_Codes
157,,Q32
158,Codes,Q32_Codes
159,,Q33
160,Codes,Q33_Codes
161,,PRG_Q34_01
162,,PRG_Q34_02
163,,PRG_Q34_03
164,,PRG_Q34_04
165,,PRG_Q34_05
166,,PRG_Q34_06
167,,PRG_Q34_07
168,,PRG_Q34_08
169,,PRG_Q34_09
170,,PRG_Q34_10
171,,PRG_Q34_11
172,,PRG_Q34_12
173,,PRG_Q34_13
174,,PRG_Q34_14
175,,PRG_Q34_15
176,,PRG_Q34_16
177,,PRG_Q34_17
178,,PRG_Q34_18
179,,PRG_Q34_19
180,,PRG_Q34_20
181,,PRG_Q34_21
182,,PRG_Q34_22
183,,PRG_Q34_23
184,,PRG_Q34_24
185,,PRG_Q34_25
186,,PRG_Q34_26
187,,PRG_Q34_27
188,,PRG_Q34_28
189,,PRG_Q34_29
190,,Q34_HHM1_name
191,,Q34_HHM2_name
192,,Q34_HHM3_name
193,,Q34_HHM4_name
194,,Q34_HHM5_name
195,,Q34_HHM6_name
196,,Q34_HHM7_name
197,,Q34_HHM8_name
198,,Q34_HHM9_name
199,,Q34_HHM10_name
200,,Q34_HHM11_name
201,,Q34_HHM12_name
202,,Q34_HHM13_name
203,,Q34_HHM14_name
204,,Q34_HHM15_name
205,,Q34_HHM16_name
206,,Q34_HHM17_name
207,,Q34_HHM18_name
208,,Q34_HHM19_name
209,,Q34_HHM20_name
210,,Q34_HHM21_name
211,,Q34_HHM22_name
212,,Q34_HHM23_name
213,,Q34_HHM24_name
214,,Q34_HHM25_name
215,,Q34_HHM26_name
216,,Q34_HHM27_name
217,,Q34_HHM28_name
218,,Q34_HHM29_name
219,Codes,Q34_HHM1_name_Codes
220,Codes,Q34_HHM2_name_Codes
221,Codes,Q34_HHM3_name_Codes
222,Codes,Q34_HHM4_name_Codes
