"","V1","V3"
"1","Q1",""
"2","Q2",""
"3","Q3",""
"4","Q4",""
"5","Q5",""
"6","Q6",""
"7","Q7_1","Bus"
"8","Q7_2","Carpool"
"9","Q7_3","Subway"
"10","Q7_4","Train"
"11","Q7_5","Taxi"
"12","Q7_6","Airplane"
"13","Q7_7","Other, please specify"
"14","Q7_8","Refused"
"15","Q7_otherText",""
"16","Q8_1","Work"
"17","Q8_2","School"
"18","Q8_3","Shopping"
"19","Q8_4","Visiting people"
"20","Q8_5","Recreation"
"21","Q8_6","Other, please specify"
"22","Q8_7","Refused"
"23","Q8_otherText",""
"24","Q9",""
"25","Q10_1","Bus"
"26","Q10_2","Carpool"
"27","Q10_3","Subway"
"28","Q10_4","Train"
"29","Q10_5","Taxi"
"30","Q10_6","Airplane"
"31","Q10_7","Don’t know"
"32","Q10_8","Other, please specify"
"33","Q10_9","Refused"
"34","Q10_otherText",""
"35","Q11_1","Work :"
"36","Q11_2","Schools :"
"37","Q11_3","Day care :"
"38","Q11_4","Stores :"
"39","Q11_5","Restaurants :"
"40","Q11_6","Libraries :"
"41","Q11_7","Hospitals :"
"42","Q11_8","Doctor’s office :"
"43","Q11_9","'Public transportation (bus, train, etc.)' :"
"44","Q11_10","Family or friends :"
"45","Q11_11","Other, please specify ' "
"46","Q11_OtherText",""
"47","Q11_OtherText_Codes","Codes"
"48","Q12_1","Avoid touching my eyes :"
"49","Q12_2","Avoid touching my nose :"
"50","Q12_3","Avoid touching my mouth :"
"51","Q12_4","Wash my hands with soap"
"52","Q12_5","Use hand sanitizers :"
"53","Q12_6","Clean the surfaces in my home  :"
"54","Q12_7","Clean the surfaces at work :"
"55","Q12_8","Eat nutritious food :"
"56","Q12_9","Get adequate rest :"
"57","Q12_10","Get recommended vaccine :"
"58","Q12_11","Take preventive medicine :"
"59","Q12_12","Cover my nose and mouth with a surgical mask :"
"60","Q12_13","Avoid contact with people who are sick :"
"61","Q12_14","Avoid crowded places :"
"62","Q12_15","Other, please specify' "
"63","Q12_OtherText",""
"64","Q12_OtherText_Codes","Codes"
"65","Q13","Do you get an influenza vaccine?"
"66","Q14",""
"67","Q15",""
"68","Q16",""
"69","Q17",""
"70","Q18_1","The vaccine costs too much"
"71","Q18_2","The vaccine is not very effective in preventing influenza"
"72","Q18_3","I am not likely to get influenza"
"73","Q18_4","Do not know where to get vaccine"
"74","Q18_5","The side effect of the vaccine are too risky"
"75","Q18_6","I am allergic to some of the ingredients in the vaccine"
"76","Q18_7","I do not like shots"
"77","Q18_8","I just don’t get around to doing it"
"78","Q18_9","I have to travel too far to get vaccine"
"79","Q18_10","Other, please specify"
"80","Q18_11","Refused"
"81","Q18_otherText",""
"82","Q19",""
"83","Q20",""
"84","Q21",""
"85","Q22_1","Go to a doctor’s office or medical clinic :"
"86","Q22_2","Decide on treatment without consulting a health practitioner :"
"87","Q22_3","Search the internet for a treatment :"
"88","Q22_4","Get adequate sleep :"
"89","Q22_5","Eat nutritious food :"
"90","Q22_6","Take-over-counter medication for symptoms :"
"91","Q22_7","Take an antiviral medicine :"
"92","Q22_8","Take no action to treat the illness :"
"93","Q22_9","Other, please specify ' "
"94","Q22_OtherText",""
"95","Q22_OtherText_Codes","Codes"
"96","Q23_1","Stand away from people :"
"97","Q23_2","Avoid public places :"
"98","Q23_3","Avoid public transportation :"
"99","Q23_4","Stay at home :"
"100","Q23_5","Wash my hands with soap more often :"
"101","Q23_6","Use hand sanitizers :"
"102","Q23_7","Clean the surfaces in my home :"
"103","Q23_8","Clean the surfaces I use at work :"
"104","Q23_9","Cover my nose and mouth with a surgical mask :"
"105","Q23_10","Cover my nose and mouth when I sneeze or cough :"
"106","Q23_11","Other, please specify ' "
"107","Q23_OtherText",""
"108","Q23_OtherText_Codes","Codes"
"109","RI_Grid",""
"110","Q24_1","Print media such as newspapers and magazines"
"111","Q24_2","Traditional media such as television and radio"
"112","Q24_3","Social media such as internet and blogs"
"113","Q24_4","Word of mouth"
"114","Q24_5","None"
"115","Q24_6","Other, please specify"
"116","Q24_7","Refused"
"117","Q24_otherText",""
"118","Q25_1","Stand away from people :"
"119","Q25_2","Avoid public places :"
"120","Q25_3","Avoid public transportation :"
"121","Q25_4","Stay at home :"
"122","Q25_5","Wash my hands with soap more often :"
"123","Q25_6","Use hand sanitizers :"
"124","Q25_7","Clean the surfaces in my home :"
"125","Q25_8","Clean the surfaces I use at work :"
"126","Q25_9","Cover my nose and mouth with a surgical mask :"
"127","Q25_10","Cover my nose and mouth when I sneeze or cough :"
"128","Q25_11","Other, please specify' "
"129","Q25_OtherText",""
"130","Q25_OtherText_Codes","Codes"
"131","Q26",""
"132","Q27_1","Keep the child away from the others in the residence :"
"133","Q27_2","Keep the child out of school/daycare :"
"134","Q27_3","Stop child’s social activities like play dates :"
"135","Q27_4","Other, please specify ' "
"136","Q27_OtherText",""
"137","Q27_OtherText_Codes","Codes"
"138","Q28",""
"139","Q29_1","A parent brings the child to work :"
"140","Q29_2","A parent stays home :"
"141","Q29_3","Another adult stays home :"
"142","Q29_4","Send the child to school sick :"
"143","Q29_5","Take the child to a relative or friends :"
"144","Q29_6","Other, please specify' "
"145","Q29_OtherText",""
"146","Q29_OtherText_Codes","Codes"
"147","Q30_1","I bring the child to work :"
"148","Q30_2","I stay home :"
"149","Q30_3","Another adult stays home :"
"150","Q30_4","Send the child to school sick :"
"151","Q30_5","Take the child to a relative or friends :"
"152","Q30_6","Other, please specify' :"
"153","Q30_OtherText",""
"154","Q30_OtherText_Codes","Codes"
"155","Q31",""
"156","Q31_Codes","Codes"
"157","Q32",""
"158","Q32_Codes","Codes"
"159","Q33",""
"160","Q33_Codes","Codes"
"161","PRG_Q34_01",""
"162","PRG_Q34_02",""
"163","PRG_Q34_03",""
"164","PRG_Q34_04",""
"165","PRG_Q34_05",""
"166","PRG_Q34_06",""
"167","PRG_Q34_07",""
"168","PRG_Q34_08",""
"169","PRG_Q34_09",""
"170","PRG_Q34_10",""
"171","PRG_Q34_11",""
"172","PRG_Q34_12",""
"173","PRG_Q34_13",""
"174","PRG_Q34_14",""
"175","PRG_Q34_15",""
"176","PRG_Q34_16",""
"177","PRG_Q34_17",""
"178","PRG_Q34_18",""
"179","PRG_Q34_19",""
"180","PRG_Q34_20",""
"181","PRG_Q34_21",""
"182","PRG_Q34_22",""
"183","PRG_Q34_23",""
"184","PRG_Q34_24",""
"185","PRG_Q34_25",""
"186","PRG_Q34_26",""
"187","PRG_Q34_27",""
"188","PRG_Q34_28",""
"189","PRG_Q34_29",""
"190","Q34_HHM1_name",""
